Ticker,Price,Prediction,Confidence,30d_Hist_Return
LTTS.NS,3855.800048828125,NOT GOOD,0.16,-0.1466258956902475
HCLTECH.NS,1593.699951171875,NOT GOOD,0.14,-0.033508961976311195
MPHASIS.NS,2610.5,NOT GOOD,0.14,-0.08422791322208231
LTIM.NS,5561.5,NOT GOOD,0.125,-0.07853533261535912
OFSS.NS,7264.0,NOT GOOD,0.125,-0.06596373923106597
COFORGE.NS,1546.0,NOT GOOD,0.125,-0.07386968921389396
PERSISTENT.NS,5852.0,NOT GOOD,0.12,-0.06785303263056024
TATATECH.NS,617.6500244140625,NOT GOOD,0.115,-0.060751144548444706
TCS.NS,2941.60009765625,NOT GOOD,0.11,-0.0868673147551472
TECHM.NS,1619.9000244140625,NOT GOOD,0.105,0.00471374766220557
WIPRO.NS,230.72000122070312,NOT GOOD,0.065,-0.11124056765525567
INFY.NS,1507.0999755859375,NOT GOOD,0.035,-0.0899704137410442
